sequence,scene,amount
2019-03-14,sh501000,0.948
2019-03-14,sh501001,1.077
2019-03-14,sh501002,0.0
2019-03-14,sh501003,0.0
2019-03-14,sh501005,0.839
2019-03-14,sh501006,0.0
2019-03-14,sh501007,0.911
2019-03-14,sh501008,0.9
2019-03-14,sh501009,1.071
2019-03-14,sh501010,1.076
2019-03-14,sh501011,0.888
2019-03-14,sh501012,0.85
2019-03-14,sh501015,0.843
2019-03-14,sh501016,1.067
2019-03-14,sh501017,0.809
2019-03-14,sh501018,1.07
2019-03-14,sh501019,0.798
2019-03-14,sh501020,0.0
2019-03-14,sh501021,1.337
2019-03-14,sh501022,0.915
2019-03-14,sh501023,1.09
2019-03-14,sh501025,1.081
2019-03-14,sh501026,0.808
2019-03-14,sh501027,0.0
2019-03-14,sh501028,0.873
2019-03-14,sh501029,1.004
2019-03-14,sh501030,0.629
2019-03-14,sh501031,0.628
2019-03-14,sh501032,0.737
2019-03-14,sh501035,0.0
2019-03-14,sh501036,0.852
2019-03-14,sh501037,0.876
2019-03-14,sh501038,0.988
2019-03-14,sh501043,1.007
2019-03-14,sh501045,1.0
2019-03-14,sh501046,1.126
2019-03-14,sh501050,1.21
2019-03-14,sh501106,1.106
2019-03-14,sh501300,0.981
2019-03-14,sh501301,1.17
2019-03-14,sh501302,0.0
2019-03-14,sh501303,0.0
2019-03-14,sh502000,0.914
2019-03-14,sh502001,0.0
2019-03-14,sh502002,0.748
2019-03-14,sh502003,1.274
2019-03-14,sh502004,0.979
2019-03-14,sh502005,1.552
2019-03-14,sh502006,0.976
2019-03-14,sh502007,0.0
2019-03-14,sh502008,0.908
2019-03-14,sh502010,1.261
2019-03-14,sh502011,0.993
2019-03-14,sh502012,1.635
2019-03-14,sh502013,1.175
2019-03-14,sh502014,0.976
2019-03-14,sh502015,1.319
2019-03-14,sh502016,0.0
2019-03-14,sh502017,0.0
2019-03-14,sh502018,0.0
2019-03-14,sh502020,0.945
2019-03-14,sh502021,0.98
2019-03-14,sh502022,0.0
2019-03-14,sh502023,0.866
2019-03-14,sh502024,0.984
2019-03-14,sh502025,0.756
2019-03-14,sh502026,0.0
2019-03-14,sh502027,0.0
2019-03-14,sh502028,0.0
2019-03-14,sh502030,0.0
2019-03-14,sh502031,0.0
2019-03-14,sh502032,0.0
2019-03-14,sh502036,0.903
2019-03-14,sh502037,0.989
2019-03-14,sh502038,0.823
2019-03-14,sh502040,0.0
2019-03-14,sh502041,1.044
2019-03-14,sh502042,1.198
2019-03-14,sh502048,0.891
2019-03-14,sh502049,1.014
2019-03-14,sh502050,0.81
2019-03-14,sh502053,1.0
2019-03-14,sh502054,0.981
2019-03-14,sh502055,1.114
2019-03-14,sh502056,1.009
2019-03-14,sh502057,0.992
2019-03-14,sh502058,1.02
2019-03-14,sh505888,0.99
2019-03-14,sh510010,1.128
2019-03-14,sh510020,2.885
2019-03-14,sh510030,5.0
2019-03-14,sh510050,2.701
2019-03-14,sh510060,1.819
2019-03-14,sh510070,1.679
2019-03-14,sh510090,1.665
2019-03-14,sh510110,3.604
2019-03-14,sh510120,0.0
2019-03-14,sh510130,3.898
2019-03-14,sh510150,4.537
2019-03-14,sh510160,0.563
2019-03-14,sh510170,1.68
2019-03-14,sh510180,3.33
2019-03-14,sh510190,3.389
2019-03-14,sh510210,3.572
2019-03-14,sh510220,4.028
2019-03-14,sh510230,5.793
2019-03-14,sh510260,1.106
2019-03-14,sh510270,1.077
2019-03-14,sh510280,0.0
2019-03-14,sh510290,1.447
2019-03-14,sh510300,3.705
2019-03-14,sh510310,1.603
2019-03-14,sh510330,3.706
2019-03-14,sh510360,1.193
2019-03-14,sh510410,0.658
2019-03-14,sh510420,0.0
2019-03-14,sh510430,1.462
2019-03-14,sh510440,1.632
2019-03-14,sh510500,5.74
2019-03-14,sh510510,1.532
2019-03-14,sh510520,0.0
2019-03-14,sh510560,1.136
2019-03-14,sh510580,5.589
2019-03-14,sh510630,2.32
2019-03-14,sh510650,1.85
2019-03-14,sh510660,1.734
2019-03-14,sh510680,2.23
2019-03-14,sh510710,2.95
2019-03-14,sh510810,0.942
2019-03-14,sh510880,2.836
2019-03-14,sh510900,1.211
2019-03-14,sh511010,116.331
2019-03-14,sh511220,95.93
2019-03-14,sh511230,0.0
2019-03-14,sh511260,106.4
2019-03-14,sh511600,99.997
2019-03-14,sh511620,99.941
2019-03-14,sh511650,99.998
2019-03-14,sh511660,100.0
2019-03-14,sh511670,99.995
2019-03-14,sh511680,0.0
2019-03-14,sh511690,99.998
2019-03-14,sh511700,99.994
2019-03-14,sh511760,0.0
2019-03-14,sh511770,99.988
2019-03-14,sh511800,99.994
2019-03-14,sh511810,100.004
2019-03-14,sh511820,99.992
2019-03-14,sh511830,99.992
2019-03-14,sh511850,99.999
2019-03-14,sh511860,99.992
2019-03-14,sh511880,100.688
2019-03-14,sh511890,0.0
2019-03-14,sh511900,99.993
2019-03-14,sh511910,99.983
2019-03-14,sh511920,99.983
2019-03-14,sh511930,0.0
2019-03-14,sh511950,99.963
2019-03-14,sh511960,99.99
2019-03-14,sh511970,100.0
2019-03-14,sh511980,99.992
2019-03-14,sh511990,99.999
2019-03-14,sh512000,0.99
2019-03-14,sh512010,1.595
2019-03-14,sh512070,2.145
2019-03-14,sh512100,0.693
2019-03-14,sh512120,1.446
2019-03-14,sh512200,0.918
2019-03-14,sh512210,0.0
2019-03-14,sh512220,1.316
2019-03-14,sh512230,0.0
2019-03-14,sh512300,1.085
2019-03-14,sh512310,0.523
2019-03-14,sh512330,0.812
2019-03-14,sh512340,0.794
2019-03-14,sh512400,0.695
2019-03-14,sh512500,2.69
2019-03-14,sh512510,1.151
2019-03-14,sh512550,1.07
2019-03-14,sh512560,0.888
2019-03-14,sh512570,0.97
2019-03-14,sh512580,0.814
2019-03-14,sh512600,2.263
2019-03-14,sh512610,1.39
2019-03-14,sh512640,1.918
2019-03-14,sh512660,0.8
2019-03-14,sh512680,0.799
2019-03-14,sh512700,1.061
2019-03-14,sh512800,1.026
2019-03-14,sh512810,0.751
2019-03-14,sh512880,1.038
2019-03-14,sh512900,1.0
2019-03-14,sh512990,1.087
2019-03-14,sh513030,0.974
2019-03-14,sh513050,1.245
2019-03-14,sh513100,2.524
2019-03-14,sh513500,1.749
2019-03-14,sh513600,2.568
2019-03-14,sh513660,2.572
2019-03-14,sh518800,2.801
2019-03-14,sh518801,0.0
2019-03-14,sh518802,0.0
2019-03-14,sh518805,0.0
2019-03-14,sh518880,2.822
2019-03-14,sh518881,0.0
2019-03-14,sh518882,0.0
2019-03-14,sh518885,0.0
2019-03-14,sh600000,11.46
2019-03-12,sh600001,0.0
2019-03-12,sh600002,0.0
2019-03-12,sh600003,0.0
2019-03-14,sh600004,13.4
2019-03-14,sh600005,0.0
2019-03-14,sh600006,4.39
2019-03-14,sh600007,14.52
2019-03-14,sh600008,4.18
2019-03-14,sh600009,56.1
2019-03-14,sh600010,1.91
2019-03-14,sh600011,6.8
2019-03-14,sh600012,7.01
2019-03-14,sh600015,8.26
2019-03-14,sh600016,6.44
2019-03-14,sh600017,3.31
2019-03-14,sh600018,7.45
2019-03-14,sh600019,7.37
2019-03-14,sh600020,6.2
2019-03-14,sh600021,9.23
2019-03-14,sh600022,1.96
2019-03-14,sh600023,4.86
2019-03-14,sh600025,3.65
2019-03-14,sh600026,5.87
2019-03-14,sh600027,4.55
2019-03-14,sh600028,5.93
2019-03-14,sh600029,7.97
2019-03-14,sh600030,23.75
2019-03-14,sh600031,11.41
2019-03-14,sh600033,3.51
2019-03-14,sh600035,4.34
2019-03-14,sh600036,30.98
2019-03-14,sh600037,11.52
2019-03-14,sh600038,46.6
2019-03-14,sh600039,3.85
2019-03-14,sh600048,13.16
2019-03-14,sh600050,7.1
2019-03-14,sh600051,6.66
2019-03-14,sh600052,3.61
2019-03-14,sh600053,27.81
2019-03-14,sh600054,11.03
2019-03-14,sh600055,13.8
2019-03-14,sh600056,14.9
2019-03-14,sh600057,4.92
2019-03-14,sh600058,8.22
2019-03-14,sh600059,7.77
2019-03-14,sh600060,11.03
2019-03-14,sh600061,13.25
2019-03-14,sh600062,13.6
2019-03-14,sh600063,3.42
2019-03-14,sh600064,12.78
2019-03-12,sh600065,0.0
2019-03-14,sh600066,13.31
2019-03-14,sh600067,4.74
2019-03-14,sh600068,7.07
2019-03-14,sh600069,3.71
2019-03-14,sh600070,8.8
2019-03-14,sh600071,12.0
2019-03-14,sh600072,0.0
2019-03-14,sh600073,9.16
2019-03-14,sh600074,1.26
2019-03-14,sh600075,5.46
2019-03-14,sh600076,5.07
2019-03-14,sh600077,3.22
2019-03-14,sh600078,4.19
2019-03-14,sh600079,11.19
2019-03-14,sh600080,7.68
2019-03-14,sh600081,9.2
2019-03-14,sh600082,5.63
2019-03-14,sh600083,17.64
2019-03-14,sh600084,3.58
2019-03-14,sh600085,30.07
2019-03-14,sh600086,5.95
2019-03-12,sh600087,0.0
2019-03-14,sh600088,15.64
2019-03-14,sh600089,8.36
2019-03-14,sh600090,5.97
2019-03-14,sh600091,4.11
2019-03-12,sh600092,0.0
2019-03-14,sh600093,13.46
2019-03-14,sh600094,6.45
2019-03-14,sh600095,4.99
2019-03-14,sh600096,6.66
2019-03-14,sh600097,12.3
2019-03-14,sh600098,6.19
2019-03-14,sh600099,7.07
2019-03-14,sh600100,12.38
2019-03-14,sh600101,8.41
2019-03-12,sh600102,0.0
2019-03-14,sh600103,3.16
2019-03-14,sh600104,25.54
2019-03-14,sh600105,5.54
2019-03-14,sh600106,3.58
2019-03-14,sh600107,8.0
2019-03-14,sh600108,3.31
2019-03-14,sh600109,10.35
2019-03-14,sh600110,5.31
2019-03-14,sh600111,11.34
2019-03-14,sh600112,5.09
2019-03-14,sh600113,8.66
2019-03-14,sh600114,7.91
2019-03-14,sh600115,5.85
2019-03-14,sh600116,0.0
2019-03-14,sh600117,4.02
2019-03-14,sh600118,26.17
2019-03-14,sh600119,7.78
2019-03-14,sh600120,17.79
2019-03-14,sh600121,3.52
2019-03-14,sh600122,4.75
2019-03-14,sh600123,7.69
2019-03-14,sh600125,8.04
2019-03-14,sh600126,5.07
2019-03-14,sh600127,3.51
2019-03-14,sh600128,10.18
2019-03-14,sh600129,10.95
2019-03-14,sh600130,4.67
2019-03-14,sh600131,21.11
2019-03-14,sh600132,32.1
2019-03-14,sh600133,7.75
2019-03-14,sh600135,8.27
2019-03-14,sh600136,14.18
2019-03-14,sh600137,15.59
2019-03-14,sh600138,16.04
2019-03-14,sh600139,4.68
2019-03-14,sh600141,11.49
2019-03-14,sh600143,5.42
2019-03-14,sh600145,0.0
2019-03-14,sh600146,8.82
2019-03-14,sh600148,18.9
2019-03-14,sh600149,6.07
2019-03-14,sh600150,17.53
2019-03-14,sh600151,5.55
2019-03-14,sh600152,7.4
2019-03-14,sh600153,8.57
2019-03-14,sh600155,10.85
2019-03-14,sh600156,5.66
2019-03-14,sh600157,2.32
2019-03-14,sh600158,11.28
2019-03-14,sh600159,3.02
2019-03-14,sh600160,8.34
2019-03-14,sh600161,22.61
2019-03-14,sh600162,2.86
2019-03-14,sh600163,4.01
2019-03-14,sh600165,5.31
2019-03-14,sh600166,2.19
2019-03-14,sh600167,12.85
2019-03-14,sh600168,7.03
2019-03-14,sh600169,3.02
2019-03-14,sh600170,3.81
2019-03-14,sh600171,13.77
2019-03-14,sh600172,4.63
2019-03-14,sh600173,4.91
2019-03-14,sh600175,2.83
2019-03-14,sh600176,10.63
2019-03-14,sh600177,8.42
2019-03-14,sh600178,5.47
2019-03-14,sh600179,8.08
2019-03-14,sh600180,10.68
2019-03-12,sh600181,0.0
2019-03-14,sh600182,16.8
2019-03-14,sh600183,11.44
2019-03-14,sh600184,12.01
2019-03-14,sh600185,4.87
2019-03-14,sh600186,2.3
2019-03-14,sh600187,4.06
2019-03-14,sh600188,10.35
2019-03-14,sh600189,4.82
2019-03-14,sh600190,3.55
2019-03-14,sh600191,5.48
2019-03-14,sh600192,6.91
2019-03-14,sh600193,4.09
2019-03-14,sh600195,12.65
2019-03-14,sh600196,29.9
2019-03-14,sh600197,17.26
2019-03-14,sh600198,9.99
2019-03-14,sh600199,5.75
2019-03-14,sh600200,8.27
2019-03-14,sh600201,16.72
2019-03-14,sh600202,4.8
2019-03-14,sh600203,6.19
2019-03-12,sh600205,0.0
2019-03-14,sh600206,9.12
2019-03-14,sh600207,5.5
2019-03-14,sh600208,3.84
2019-03-14,sh600209,4.42
2019-03-14,sh600210,4.8
2019-03-14,sh600211,34.26
2019-03-14,sh600212,4.81
2019-03-14,sh600213,7.57
2019-03-14,sh600215,8.98
2019-03-14,sh600216,11.6
2019-03-14,sh600217,5.3
2019-03-14,sh600218,12.1
2019-03-14,sh600219,2.74
2019-03-14,sh600220,3.5
2019-03-14,sh600221,2.25
2019-03-14,sh600222,4.68
2019-03-14,sh600223,3.84
2019-03-14,sh600225,3.83
2019-03-14,sh600226,4.5
2019-03-14,sh600227,4.09
2019-03-14,sh600228,7.73
2019-03-14,sh600229,8.71
2019-03-14,sh600230,19.63
2019-03-14,sh600231,3.33
2019-03-14,sh600232,5.85
2019-03-14,sh600233,13.0
2019-03-14,sh600234,7.58
2019-03-14,sh600235,8.15
2019-03-14,sh600236,5.75
2019-03-14,sh600237,4.63
2019-03-14,sh600238,9.49
2019-03-14,sh600239,3.69
2019-03-14,sh600240,3.35
2019-03-14,sh600241,7.13
2019-03-14,sh600242,14.01
2019-03-14,sh600243,5.31
2019-03-14,sh600246,4.3
